cmt,exp,time,GPP,RECO,NEE,NPP,RH,RG,RM,LTRFALC,SHLWC
birch,control,1901-01-01,0.0,0.3172598521656056,0.3172598521656056,-0.23079514573471727,0.08646470643088833,0.0,0.23079514573471727,13.38621519541232,587.9900450706482
birch,control,1901-02-01,0.0,0.5002279321098655,0.5002279321098655,-0.41650578825478135,0.08372214385508414,0.0,0.41650578825478135,12.691258402782978,600.3578181266785
birch,control,1901-03-01,0.0,2.107225320568432,2.107225320568432,-2.0154863658799513,0.09173895468848059,0.0,2.0154863658799513,12.024606422116676,612.0482578277588
birch,control,1901-04-01,0.0,5.285684762342726,5.285684762342726,-5.177320894683135,0.10836386765959105,0.0,5.177320894683135,11.341776667550334,623.0394878387451
birch,control,1901-05-01,41.35903700441304,46.65557279756922,5.296535793156181,20.052732303738594,25.349267019587387,9.080277966335416,12.226027811646418,11.262633154444018,606.2119264602661
birch,control,1901-06-01,100.39943930375102,98.72981785626325,-1.6696214474877706,54.43717002868652,52.76755143011451,24.87357212230563,21.088694303843113,12.815971823077177,565.3727912902832
birch,control,1901-07-01,98.0135282122983,88.06702662964199,-9.94650158265631,49.273620933294296,39.32710976732869,22.601038144901395,26.1388787174119,15.620019839410531,543.3567161560059
birch,control,1901-08-01,85.36000726581824,72.31611647097907,-13.043890794839172,42.02848310768604,28.984589630637856,19.484739715233445,23.846787125107767,17.388189719181298,534.215594291687
birch,control,1901-09-01,53.209245616847966,49.18543125526185,-4.023814361586119,24.373016223311424,20.349201746241306,11.547439536079764,17.288789972940776,17.243403137854102,533.4959712028503
birch,control,1901-10-01,0.0,8.912266280913627,8.912266280913627,-7.967296494655329,0.944969786258298,0.0,7.967296494655329,16.181979910498853,549.3648996353149
birch,control,1901-11-01,0.0,1.784468225353919,1.784468225353919,-1.597133181695824,0.18733504365809495,0.0,1.597133181695824,15.09195252940583,564.1371488571167
birch,control,1901-12-01,0.0,1.0455035507493733,1.0455035507493733,-0.9286192259806114,0.11688432476876187,0.0,0.9286192259806114,14.224351221313214,578.0343623161316
birch,control,1902-01-01,0.0,0.5786984523591912,0.5786984523591912,-0.48070777414559984,0.09799067821359131,0.0,0.48070777414559984,13.449056123870093,591.1574053764343
birch,control,1902-02-01,0.0,1.1226845886879175,1.1226845886879175,-1.0244544292889088,0.0982301593990087,0.0,1.0244544292889088,12.735893022487517,603.559980392456
birch,control,1902-03-01,0.0,0.9731942799817261,0.9731942799817261,-0.8753530642402438,0.0978412157414823,0.0,0.8753530642402438,12.07446710848427,615.29625415802
birch,control,1902-04-01,0.0,5.023976886224091,5.023976886224091,-4.912759155654612,0.11121773056947859,0.0,4.912759155654612,11.40843140513141,626.3510417938232
birch,control,1902-05-01,47.88278344554692,51.13991163308583,3.2571281875389104,24.081811249256134,27.338939253324497,10.883871277794242,12.917101101967091,11.331148667070465,607.3786659240723
birch,control,1902-06-01,102.19913670605638,99.77584505121467,-2.423291654841705,54.752714306116104,52.32942797285159,25.02334700897336,22.423070069389723,13.13793206440323,567.3295803070068
birch,control,1902-07-01,97.05862833994888,91.25703612697635,-5.801592212972537,47.333908438682556,41.53231525713454,21.764930468052626,27.959790401789178,16.09388174049019,543.4997215270996
birch,control,1902-08-01,85.0725152060104,74.38174215123036,-10.690773054780038,41.283077746629715,30.592303909538714,19.07299231365323,24.71644592803841,17.557795409464063,532.9905958175659
birch,control,1902-09-01,49.809130288805136,46.77299677695464,-3.036133511850494,22.616227865219116,19.580099558530492,10.6905601285398,16.50233708988435,17.202154108970944,532.9964451789856
birch,control,1902-10-01,0.0,8.13010458460053,8.13010458460053,-7.60768467683215,0.5224199077683807,0.0,7.60768467683215,16.146603652275758,548.8291783332825
birch,control,1902-11-01,0.0,1.030267574236973,1.030267574236973,-0.916360038555581,0.11390753568139189,0.0,0.916360038555581,15.078906521528609,563.5913162231445
birch,control,1902-12-01,0.0,0.28264059012097675,0.28264059012097675,-0.1939896754424666,0.08865091467851016,0.0,0.1939896754424666,14.237556571458526,577.5134372711182
birch,control,1903-01-01,0.0,0.20373820447307622,0.20373820447307622,-0.12693371164309752,0.0768044928299787,0.0,0.12693371164309752,13.479892425952869,590.6756319999695
birch,control,1903-02-01,0.0,0.7204658059957865,0.7204658059957865,-0.6398818156252446,0.08058399037054187,0.0,0.6398818156252446,12.776585733172396,603.1261358261108
birch,control,1903-03-01,0.0,1.571466295760672,1.571466295760672,-1.4834113422143105,0.0880549535463615,0.0,1.4834113422143105,12.108690645318234,614.8993344306946
birch,control,1903-04-01,0.0,4.868027975107225,4.868027975107225,-4.765459493987464,0.10256848111976069,0.0,4.765459493987464,11.433302113999048,625.9822916984558
birch,control,1903-05-01,39.83818992702163,45.80526589707097,5.967075970049336,18.992667138576508,24.959745829019084,8.576569460332394,12.26895060771949,11.290243083852204,609.5707426071167
birch,control,1903-06-01,92.86605280960885,91.95098362695535,-0.9150691826534967,49.012995570898056,48.09792093814485,22.555072085931897,21.2979906028786,12.819531131314761,573.7450771331787
birch,control,1903-07-01,97.66251216004821,87.38752098092573,-10.27499117912248,49.20541816204786,38.93042337498173,22.522852167487144,25.934245438456855,15.630312559689173,551.9580097198486
birch,control,1903-08-01,85.6535281357983,77.81779598327466,-7.835732152523633,41.60035252571106,33.76461926491356,19.247593484818935,24.805583233542166,17.351259417464007,537.7401003837585
birch,control,1903-09-01,45.88293254576001,45.04820828456741,-0.8347242611926049,20.047517225146294,19.212789647514,9.62538783531636,16.210030801737048,17.14810736648542,537.9697308540344
birch,control,1903-10-01,0.0,5.871665585120809,5.871665585120809,-5.586833141695479,0.28483244342533,0.0,5.586833141695479,16.114501959795234,553.769688129425
birch,control,1903-11-01,0.0,1.0868129056194675,1.0868129056194675,-1.0116519810372893,0.07516092458217827,0.0,1.0116519810372893,15.084964696168356,568.5509705543518
birch,control,1903-12-01,0.0,1.0538531521659138,1.0538531521659138,-0.9882924860283424,0.06556066613757139,0.0,0.9882924860283424,14.227218503805261,582.4669532775879
birch,control,1904-01-01,0.0,0.2269503181970478,0.2269503181970478,-0.17259481128836995,0.05435550690867785,0.0,0.17259481128836995,13.455625092405455,595.6132197380066
