cmt,exp,year,burn_year,GPP,RECO,NEE,NPP,RH,RG,RM,VEGC,LTRFALC,SHLWC,DEEPC,MINEC,total_soil_carbon,ALD,BURNVEG2AIRC,BURNSOIC,total_burn_emissions,years_since_fire
birch,control,1901,1900,378.34125740312857,374.9066009339189,-3.434656469209642,171.83186549983253,168.39719842122895,87.58706748485565,118.92233502783432,1893.9374003515597,169.27235802304733,574.8020849227905,2008.7378783896565,17922.90522239171,20506.445185704157,0.684871743619967,0.0,0.0,0.0,1
birch,control,1902,1900,382.0221939863677,380.46909869567327,-1.5530952906944435,174.05643079174405,172.50334409343168,87.43570119701326,120.53005340522832,1895.1170743431142,170.45382639563508,575.8744685252508,2009.8556467667222,17922.527818319388,20508.25793361136,0.7212555506491674,0.0,0.0,0.0,2
birch,control,1903,1900,361.903215578237,363.3858046970371,1.4825891188000924,164.25648665014856,165.73906500658495,82.52747503388673,115.11926465656538,1891.1071869705727,169.46460963701696,579.204555551211,2011.3035710826516,17922.095527957194,20512.603654591057,0.6940742164445333,0.0,0.0,0.0,3
birch,control,1904,1900,365.75792276814855,374.83374222639867,9.075819458250123,164.38644389876873,173.46227009327504,83.76094493782148,117.61052719530214,1885.4041775149333,171.21059237867502,578.138085881869,2012.4845386967063,17921.99739697762,20512.620021556195,0.725755038816318,0.0,0.0,0.0,4
birch,control,1905,1900,381.4643722878932,393.1643253710731,11.699953083179935,167.66574908313441,179.36569512010237,87.54956151496299,126.24906873600774,1879.6040516552166,170.65648032442385,573.2586796283722,2011.4977024644613,17921.522814726457,20506.27919681929,0.7370855452492828,0.0,0.0,0.0,5
birch,control,1906,1900,378.81478105743645,376.795490694152,-2.0192903632844263,169.234160679722,167.21487016463198,87.06762926932424,122.51299126019578,1871.7378468581303,171.12445779453145,577.9764777421951,2012.4773970469832,17920.325647311285,20510.779522100464,0.7374122892970153,0.0,0.0,0.0,6
birch,control,1907,1900,389.84160547711735,389.5698484503679,-0.27175702674946933,179.11576733544538,178.84401295970565,89.8767608627677,120.84907462789457,1873.025014738014,173.6124576102522,578.139496008555,2013.3811848983169,17920.207485480234,20511.728166387107,0.7406063811426136,0.0,0.0,0.0,7
birch,control,1908,1900,362.45078815588613,369.05708593715633,6.6062977812702,161.3843650413811,167.99065548476074,82.56319837830961,118.50323207408599,1867.6425307996785,173.81427780662256,579.6212332248688,2014.1785336956382,17918.61668443866,20512.416451359168,0.7408884115251488,0.0,0.0,0.0,8
birch,control,1909,1900,361.69690624509394,368.9956950008926,7.298788755798682,167.7272929183515,175.0260858697584,82.9202177207917,111.04939141034254,1857.2121987957312,170.82053819383015,583.4038073221842,2016.146715477109,17918.572337947786,20518.12286074708,0.7408884115251488,0.0,0.0,0.0,9
birch,control,1910,1900,388.3347297143382,398.4491941574903,10.114464443152087,181.29919834450615,191.41366370175137,90.61790589615703,116.41762455958192,1856.4319491457477,173.78931074594936,576.9795811573664,2015.8190126866102,17917.511090786196,20510.309684630174,0.7588846877873616,0.0,0.0,0.0,10
birch,control,1911,1900,381.4638395508605,388.36835658002155,6.90451702916107,172.1578776688448,179.06240058349886,87.7942584194243,121.51169757709837,1856.7833158921421,172.54431843467472,570.0059012174606,2013.895223096013,17917.080347157083,20500.981471470557,0.7588846877873616,0.0,0.0,0.0,11
birch,control,1912,1900,410.7228309999557,390.0910917810743,-20.63173921888142,187.66024526870868,167.0285063277379,97.50202899655596,125.5605564567804,1864.968067307171,169.013968467933,567.9736216862997,2012.1954219788313,17916.78422607109,20496.95326973622,0.7252584403914024,0.0,0.0,0.0,12
birch,control,1913,1900,370.28136666077535,363.8063846422053,-6.474982018570074,165.85426378407038,159.37927292738732,85.02026475697494,119.40684695784302,1870.0927980518998,169.74388604542298,575.7398394743601,2013.4640570655465,17916.525066590868,20505.728963130776,0.7010941742589146,0.0,0.0,0.0,13
birch,control,1914,1900,385.24328021387373,403.79485811631747,18.55157790244374,170.80114679630952,189.35272585731855,88.91508129797876,125.52705096102018,1866.4786977365875,170.60837650563803,576.1229633490244,2012.9713998809457,17916.209004805423,20505.303368035395,0.735056301785449,0.0,0.0,0.0,14
birch,control,1915,1900,416.8507684430483,402.64276580661954,-14.208002636428773,187.74423046385982,173.53621729045108,94.33094312017784,134.77560539599062,1871.5460893321722,174.14570530338864,565.1620988051096,2010.6990123391151,17915.695697871968,20491.556809016194,0.8177745273617439,0.0,0.0,0.0,15
birch,control,1916,1900,403.2609516944731,396.68453414868503,-6.576417545788047,184.7178491886712,178.14142611501802,93.91310636978596,124.63000166388105,1880.142600921099,175.29839351324597,569.6240039666494,2008.819096378982,17914.736477095634,20493.179577441264,0.7683703234288212,0.0,0.0,0.0,16
birch,control,1917,1900,377.1094472834902,373.4263471704641,-3.6831001130261143,172.72524105471103,169.0421437314617,87.46113392524421,116.92306951375821,1879.2773127455828,170.79039400263258,574.5075864394506,2010.5839342921972,17914.653654686175,20499.745175417822,0.7683703234288212,0.0,0.0,0.0,17
birch,control,1918,1900,371.4499904426384,364.00869228775156,-7.4412981548868515,171.6006605971872,164.15935869489113,85.85320241376758,113.99613117909287,1880.1406204539912,168.67070167251973,582.6778490146002,2013.190299294889,17914.492801600136,20510.360949909624,0.673924096257105,0.0,0.0,0.0,18
birch,control,1919,1900,394.8192669721634,387.16741840541863,-7.651848566744775,183.0752979967942,175.42344823004032,92.01836938224733,119.72560079313101,1887.8446335655024,171.24274145102999,575.9672127564749,2014.8044615611434,17914.121610426344,20504.89328474396,0.7157388016550393,0.0,0.0,0.0,19
birch,control,1920,1900,345.13384523960485,349.1773183404124,4.043473100807546,157.5237247016404,161.56719523129914,79.53678728966042,108.07333581945282,1882.8974945265945,167.46694696347168,584.1598424514135,2017.094947271049,17913.217834613286,20514.472624335747,0.6180768370828006,0.0,0.0,0.0,20
