cmt,exp,year,burn_year,GPP,RECO,NEE,NPP,RH,RG,RM,VEGC,LTRFALC,SHLWC,DEEPC,MINEC,total_soil_carbon,ALD,BURNVEG2AIRC,BURNSOIC,total_burn_emissions,years_since_fire
black_spruce,control,1901,1900,540.4242349402484,545.7371461300331,5.3129111897847,247.69759870493544,253.01051274084193,31.825737550854683,260.9008958383365,1809.60593161049,207.27384497872117,3007.918952306112,5961.402348041534,34965.17384895682,43934.49514930447,0.34697579664565925,0.0,0.0,0.0,1
black_spruce,control,1902,1900,546.4734795435434,537.8086190045033,-8.664860539040092,253.9012432937693,245.236380147026,31.892967626452446,260.6792712310248,1810.9101992864162,206.3587991498007,3005.5866120656333,5961.716991901398,34965.4628893733,43932.766493340336,0.37846778654988056,0.0,0.0,0.0,2
black_spruce,control,1903,1900,519.7998191035513,481.7027869379347,-38.097032165616554,239.80155063116325,201.70450972974095,30.001635912805796,249.99664129538797,1808.3905315877248,206.37872092455473,3034.577092488607,5963.282661139965,34965.864976763725,43963.7247303923,0.36868866144894913,0.0,0.0,0.0,3
black_spruce,control,1904,1900,512.4924473270439,525.436028750786,12.943581423742103,231.46024796517816,244.40382720590014,29.660035826265812,251.37216571862007,1798.899987153709,205.33895895906608,3052.750652949015,5964.714753270149,34965.9237139225,43983.38912014166,0.36140713989474216,0.0,0.0,0.0,4
black_spruce,control,1905,1900,552.994172585597,579.361311183668,26.36713859807105,249.82876034796072,276.1958889883308,33.317752841860056,269.84766935347716,1796.9721246759098,203.94002590045602,3033.3107668558755,5966.35795301199,34966.312660336494,43965.98138020436,0.36737728098434264,0.0,0.0,0.0,5
black_spruce,control,1906,1900,539.0247439336235,536.4402280636157,-2.5845158700078628,245.01289242460302,242.42838793535702,31.828395191580057,262.1834449366786,1789.7931197447083,205.8080344060363,3023.498732884725,5964.912826299667,34966.41762024164,43954.82917942604,0.37930714526941184,0.0,0.0,0.0,6
black_spruce,control,1907,1900,565.6740414432352,539.689170098885,-25.984871344350154,265.2374943936287,239.2526378908351,33.40267038345337,267.03386182459656,1797.0956475120038,211.71459355494517,3035.3375523885093,5965.871223926544,34965.84778213501,43967.056558450065,0.38575692487475594,0.0,0.0,0.0,7
black_spruce,control,1908,1900,503.8375066359149,553.3083131727522,49.470806536837244,219.88070286297716,269.3514987641106,28.35833328589797,255.59848112274358,1787.6199502578627,207.44315923114846,3030.353443145752,5965.50784945488,34966.02890112996,43961.89019373059,0.3634115343084398,0.0,0.0,0.0,8
black_spruce,control,1909,1900,520.9722360688902,498.6471750829036,-22.325060985986624,246.66892060823028,224.34388789533432,30.37634457089007,243.92694261667916,1772.7736025756847,206.05459771185815,3038.677256902059,5967.99533200264,34966.494219362736,43973.16680826744,0.34571508266453016,0.0,0.0,0.0,9
black_spruce,control,1910,1900,561.8375056485311,595.7137820191401,33.87627637060905,273.3708826980728,307.24715838538214,33.984632640786,254.481990992972,1778.7323054956892,208.92276167464115,3023.6016133626304,5968.605622470379,34966.94082349539,43959.1480593284,0.36040073107448445,0.0,0.0,0.0,10
black_spruce,control,1911,1900,544.6859536113479,570.5204313415675,25.834477730219533,246.06285023804872,271.8973277447508,31.66340361535549,266.95969998146114,1783.1364256714783,208.17999248751585,2991.8914445241294,5968.708510756493,34967.397109389305,43927.99706466993,0.3618968940408042,0.0,0.0,0.0,11
black_spruce,control,1912,1900,598.8782781401387,573.118683215343,-25.759594924795692,283.70646574309694,257.94686939896565,37.53410117700696,277.6377126393704,1801.1750613407542,206.11861090489947,2965.9048614501953,5966.240495145321,34968.440659195185,43900.5860157907,0.3660966755459154,0.0,0.0,0.0,12
black_spruce,control,1913,1900,519.698168612922,515.3434151746566,-4.354753438265448,231.28453885721444,226.92977289079772,30.088008504360914,258.32563377949793,1803.1744357335072,205.45038386644228,2977.734747568766,5965.591940224171,34968.326506108046,43911.65319390098,0.3634684091607314,0.0,0.0,0.0,13
black_spruce,control,1914,1900,556.4461285937505,581.2830738186294,24.836945224878946,249.52886045794233,274.36579599706647,33.229760587215424,273.6875172343475,1796.1455732956529,205.6690209802182,2986.4247805277505,5965.609029948711,34968.99254900217,43921.02635947863,0.3765876809772205,0.0,0.0,0.0,14
black_spruce,control,1915,1900,612.9740324709273,612.853239600601,-0.12079287032634056,289.1733560105588,289.05259090402797,36.95714242570102,286.843506270872,1815.0493879442413,206.17459107176728,2938.891523361206,5964.774103522301,34968.57008609176,43872.23571297526,0.40497969167455516,0.0,0.0,0.0,15
black_spruce,control,1916,1900,571.469678711801,558.2396252489816,-13.230053462819342,266.6894070508238,253.45933003671917,34.17840490490198,270.60189030736046,1840.0562108152856,209.92066436024288,2926.5307108561196,5962.133665800095,34969.79529187083,43858.459668527044,0.36994679239252776,0.0,0.0,0.0,16
black_spruce,control,1917,1900,545.4460673970971,521.5109979860055,-23.935069411091604,252.66069942331103,228.7256104767971,32.22258423268795,260.5628032765204,1839.6753712606926,210.36070957002812,2943.474137624105,5962.777584254742,34970.09132194519,43876.34304382404,0.3600038056237332,0.0,0.0,0.0,17
black_spruce,control,1918,1900,529.3780911580907,508.3537001673749,-21.0243909907158,242.22681745672298,221.20242545272822,30.421196579933167,256.7300781347135,1834.0153947143506,211.3892985185048,2976.557092666626,5963.999952554703,34969.38007354736,43909.93711876869,0.3547355299550856,0.0,0.0,0.0,18
black_spruce,control,1919,1900,568.6550364237701,553.5782884387238,-15.076747985046268,269.53432532498186,254.45758264474898,34.10576468706131,265.0149411069135,1837.1486023192606,210.33526820598854,2987.3677724202475,5966.076236784458,34969.70471689105,43923.14872609576,0.36167584312185197,0.0,0.0,0.0,19
black_spruce,control,1920,1900,492.5476114779085,506.77031834416863,14.222706866260125,221.97544819508533,236.19815528858817,28.25342233106494,242.31874072451552,1826.5039558752128,208.85401161114714,3000.672088623047,5966.338897228241,34966.219626009464,43933.23061186075,0.3258966299864149,0.0,0.0,0.0,20
black_spruce,control,1921,1900,543.9135673852725,525.4913394686163,-18.422227916656198,248.96923870930198,230.54699816763696,31.971729893237352,262.97261140774197,1812.6245860240113,207.98445484202057,3017.324368158976,5968.629293322563,34966.69765383005,43952.65131531159,0.37083224876952087,0.0,0.0,0.0,21
black_spruce,control,1922,1900,500.4055479364688,507.49531628543946,7.089768348970665,222.07750162677166,229.16727794949338,29.305452945875004,249.02258539007107,1791.4586779419333,208.72372197088407,3042.547504425049,5970.184138953686,34966.493407577276,43979.22505095601,0.34175638570561734,0.0,0.0,0.0,22
black_spruce,control,1923,1900,585.996246067305,641.9368625304701,55.94061646316504,260.7058248973008,316.64644081122924,34.26613599155098,291.02428572768986,1785.6652646722891,209.3505246794448,3021.952330907186,5971.180243909359,34965.56385451555,43958.6964293321,0.41040243605135196,0.0,0.0,0.0,23
black_spruce,control,1924,1900,526.7138688432751,487.8906070189253,-38.8232618243498,243.29097905568324,204.46773100768542,30.889412346231268,252.53346366500864,1781.2919294741005,213.24326934677083,3013.162696838379,5972.932995200157,34965.59907782078,43951.694769859314,0.34520652198690915,0.0,0.0,0.0,24
black_spruce,control,1925,1900,570.5415575603911,577.4873539552768,6.945796394885747,254.3163909654964,261.2621834443016,33.34310295665637,282.8820675543188,1775.7896572041013,213.1259569220183,3040.474826812744,5973.123380601406,34964.667877435684,43978.266084849834,0.40120165718374223,0.0,0.0,0.0,25
black_spruce,control,1926,1900,616.2177360837086,669.9595941467273,53.74185806301875,273.14907682081775,326.8909326858716,37.320206291100476,305.7484551697553,1784.531760552277,213.11053203573283,3017.736508051554,5973.414732992649,34925.598667532206,43916.74990857641,0.4146584821587648,0.0,0.0,0.0,26
black_spruce,control,1927,1900,538.2132686847617,491.6503716951056,-46.56289698965611,246.03948873708805,199.47661136481065,30.486984811723232,261.6867755185717,1784.5740694111835,214.55262502842015,3029.7609882354736,5973.861389636993,34924.56798419356,43928.19036206603,0.38392162527270074,0.0,0.0,0.0,27
black_spruce,control,1928,1900,550.4087730848478,535.3646344597846,-15.04413862506317,250.11744359245358,235.07332208137404,32.81697582453489,267.4743365538757,1779.6434628584732,210.3095962055795,3064.511771519979,5974.550389111042,34924.92483639717,43963.986997028194,0.36852337505529503,0.0,0.0,0.0,28
black_spruce,control,1929,1900,576.6482977090636,618.6496489252627,42.001351216199055,270.5553415505142,312.5566631469301,35.132737424224615,270.960248354108,1788.1413842483114,207.23454404670883,3045.2937927246094,5978.176462888718,34925.63351133466,43949.103766947985,0.36852337505529503,0.0,0.0,0.0,29
black_spruce,control,1930,1900,566.3712829737124,548.1871427099359,-18.1841402637765,268.22696226812604,250.04282169887574,33.6248691752553,264.51945183580483,1806.2798478733748,208.05509709663784,3006.016623814901,5979.139313280582,34927.381914794445,43912.53785188993,0.37734479491700684,0.0,0.0,0.0,30
black_spruce,control,1931,1900,531.0293051248736,532.7554883083835,1.7261831835098747,245.60481824723456,247.33100629224828,32.010934855788946,253.4135471603463,1805.8485378815483,206.5284040382321,3008.56632232666,5981.457696378231,34927.69623041153,43917.72024911642,0.3231753994442159,0.0,0.0,0.0,31
black_spruce,control,1932,1900,556.3842848820132,529.2662157211403,-27.118069160872892,266.9058096059011,239.7877665369615,33.893083944916725,255.5853652392621,1815.0237728760887,207.722984291604,3010.9834550221763,5981.545208156109,34928.3234436512,43920.85210682949,0.3534663238694586,0.0,0.0,0.0,32
black_spruce,control,1933,1900,530.1269503202275,516.1438714008516,-13.983078919375885,251.12824112241486,237.14516466545592,31.66330785676837,247.33539887862736,1823.1668912911166,209.82785138730287,3026.0293579101562,5981.729063332081,34927.028509289026,43934.78693053126,0.33996837429616317,0.0,0.0,0.0,33
black_spruce,control,1934,1900,544.662426429255,527.595889921128,-17.066536508127,245.38215785388985,228.31562079441983,32.548938646912575,266.7313304797956,1816.191964743038,208.81611225648885,3047.3899466196694,5981.111997425556,34928.12390393019,43956.62584797541,0.3680730306554898,0.0,0.0,0.0,34
black_spruce,control,1935,1900,529.0747818669261,517.5364162376138,-11.538365629312239,253.49342962540118,241.95507639012976,32.11513439193368,243.46620545555038,1813.7274599273999,207.71577612405963,3064.479701360067,5983.166130959988,34927.78965449333,43975.43548681339,0.3210467860595644,0.0,0.0,0.0,35
black_spruce,control,1936,1900,568.745646361509,623.5863611358883,54.84071477437931,254.39485727215276,309.2355602895159,33.08762143552303,281.2631794108494,1817.9455463091533,210.68468192811997,3042.6186339060464,5984.470572650433,34927.70667243004,43954.795878986515,0.3914253747309421,0.0,0.0,0.0,36
