,GPP,NPP,$C_{leaf}$,$C_{stem}$,$C_{root}$,$N_{leaf}$,$N_{stem}$,$N_{root}$
pft0,-0.39535858840768845,-0.23870427824595686,0.16951637632455396,-0.8580636811327578,-0.30581152945845874,0.20605915489251875,-0.8654177916067176,-0.4549999179952582
pft1,-0.05015385518652163,-0.04784996258897771,-0.0543448105214247,-0.031429537132604796,-0.008787715655654223,-0.07662197088012916,-0.02098258111588245,-0.013560946336662653
pft2,-0.04576735852639885,-0.003078240620891848,-0.02249962354062207,,,-0.026288822515686927,,
pft3,-0.005011640969711018,-0.008008628294278591,-0.009730242202531048,,,-0.0018264822048468174,,
