,time,layertop,y,x,LWCLAYERtop,albers_conical_equal_area_x,year_x,dztop,typetop,ztop,layerbot,LWCLAYERbot,albers_conical_equal_area_y,year_y,dzbot,typebot,zbot
0,1901-01-01,2,0,1,0.0,b'',1901,0.05455431912026912,1.0,0.09455431912026913,3,0.0,b'',1901,0.09482660054831671,2.0,0.18938091966858583
1,1901-02-01,2,0,1,0.0,b'',1901,0.05455431912026912,1.0,0.09455431912026913,3,0.0,b'',1901,0.09482660054831671,2.0,0.18938091966858583
2,1901-03-01,2,0,1,0.0,b'',1901,0.05455431912026912,1.0,0.09455431912026913,3,0.0,b'',1901,0.09482660054831671,2.0,0.18938091966858583
3,1901-04-01,2,0,1,0.0,b'',1901,0.05455431912026912,1.0,0.09455431912026913,3,0.0,b'',1901,0.09482660054831671,2.0,0.18938091966858583
4,1901-05-01,2,0,1,0.08189647320202073,b'',1901,0.05455431912026912,1.0,0.09455431912026913,3,0.002962082145116735,b'',1901,0.09482660054831671,2.0,0.18938091966858583
5,1901-06-01,2,0,1,0.07724022107984682,b'',1901,0.05455431912026912,1.0,0.09455431912026913,3,0.19356595312963207,b'',1901,0.09482660054831671,2.0,0.18938091966858583
6,1901-07-01,2,0,1,0.12485013905309808,b'',1901,0.05455431912026912,1.0,0.09455431912026913,3,0.4097520575344856,b'',1901,0.09482660054831671,2.0,0.18938091966858583
7,1901-08-01,2,0,1,0.14898835804459865,b'',1901,0.05455431912026912,1.0,0.09455431912026913,3,0.44080859252848476,b'',1901,0.09482660054831671,2.0,0.18938091966858583
8,1901-09-01,2,0,1,0.17449983043485517,b'',1901,0.05455431912026912,1.0,0.09455431912026913,3,0.4664655284211161,b'',1901,0.09482660054831671,2.0,0.18938091966858583
9,1901-10-01,2,0,1,0.12115622503072193,b'',1901,0.05455431912026912,1.0,0.09455431912026913,3,0.4360079501984243,b'',1901,0.09482660054831671,2.0,0.18938091966858583
10,1901-11-01,2,0,1,0.0,b'',1901,0.05455431912026912,1.0,0.09455431912026913,3,0.021243580120585616,b'',1901,0.09482660054831671,2.0,0.18938091966858583
11,1901-12-01,2,0,1,0.0,b'',1901,0.05455431912026912,1.0,0.09455431912026913,3,0.0,b'',1901,0.09482660054831671,2.0,0.18938091966858583
12,1902-01-01,2,0,1,0.0,b'',1902,0.054669492259166216,1.0,0.09466949225916621,3,0.0,b'',1902,0.0948073119656793,2.0,0.18947680422484553
13,1902-02-01,2,0,1,0.0,b'',1902,0.054669492259166216,1.0,0.09466949225916621,3,0.0,b'',1902,0.0948073119656793,2.0,0.18947680422484553
14,1902-03-01,2,0,1,0.0,b'',1902,0.054669492259166216,1.0,0.09466949225916621,3,0.0,b'',1902,0.0948073119656793,2.0,0.18947680422484553
15,1902-04-01,2,0,1,0.0,b'',1902,0.054669492259166216,1.0,0.09466949225916621,3,0.0,b'',1902,0.0948073119656793,2.0,0.18947680422484553
16,1902-05-01,2,0,1,0.07869585078199999,b'',1902,0.054669492259166216,1.0,0.09466949225916621,3,0.01140007110529411,b'',1902,0.0948073119656793,2.0,0.18947680422484553
17,1902-06-01,2,0,1,0.0719939324193439,b'',1902,0.054669492259166216,1.0,0.09466949225916621,3,0.23520370151121014,b'',1902,0.0948073119656793,2.0,0.18947680422484553
18,1902-07-01,2,0,1,0.09960167541193299,b'',1902,0.054669492259166216,1.0,0.09466949225916621,3,0.3879734216460125,b'',1902,0.0948073119656793,2.0,0.18947680422484553
19,1902-08-01,2,0,1,0.1338863716750519,b'',1902,0.054669492259166216,1.0,0.09466949225916621,3,0.4246337405854063,b'',1902,0.0948073119656793,2.0,0.18947680422484553
20,1902-09-01,2,0,1,0.16545645173300358,b'',1902,0.054669492259166216,1.0,0.09466949225916621,3,0.45748837043221735,b'',1902,0.0948073119656793,2.0,0.18947680422484553
21,1902-10-01,2,0,1,0.11576263061840357,b'',1902,0.054669492259166216,1.0,0.09466949225916621,3,0.42026474723377194,b'',1902,0.0948073119656793,2.0,0.18947680422484553
22,1902-11-01,2,0,1,0.0,b'',1902,0.054669492259166216,1.0,0.09466949225916621,3,0.00440572968706452,b'',1902,0.0948073119656793,2.0,0.18947680422484553
23,1902-12-01,2,0,1,0.0,b'',1902,0.054669492259166216,1.0,0.09466949225916621,3,0.0,b'',1902,0.0948073119656793,2.0,0.18947680422484553
24,1903-01-01,2,0,1,0.0,b'',1903,0.05473514085593051,1.0,0.09473514085593052,3,0.0,b'',1903,0.09478747630448177,2.0,0.18952261716041227
25,1903-02-01,2,0,1,0.0,b'',1903,0.05473514085593051,1.0,0.09473514085593052,3,0.0,b'',1903,0.09478747630448177,2.0,0.18952261716041227
26,1903-03-01,2,0,1,0.0,b'',1903,0.05473514085593051,1.0,0.09473514085593052,3,0.0,b'',1903,0.09478747630448177,2.0,0.18952261716041227
27,1903-04-01,2,0,1,0.0,b'',1903,0.05473514085593051,1.0,0.09473514085593052,3,0.0,b'',1903,0.09478747630448177,2.0,0.18952261716041227
28,1903-05-01,2,0,1,0.06593236251168857,b'',1903,0.05473514085593051,1.0,0.09473514085593052,3,0.007207126564073449,b'',1903,0.09478747630448177,2.0,0.18952261716041227
29,1903-06-01,2,0,1,0.04825015320372522,b'',1903,0.05473514085593051,1.0,0.09473514085593052,3,0.19533515854494565,b'',1903,0.09478747630448177,2.0,0.18952261716041227
30,1903-07-01,2,0,1,0.05348975269994516,b'',1903,0.05473514085593051,1.0,0.09473514085593052,3,0.30742736164775775,b'',1903,0.09478747630448177,2.0,0.18952261716041227
