,time,x,y,layer,z,type,LWCLAYER
92,1908-09-01,1,0,0,0.05,1.0,0.12069200464553935
93,1908-10-01,1,0,0,0.05,1.0,0.010401663743002344
94,1908-11-01,1,0,0,0.05,1.0,0.0
95,1908-12-01,1,0,0,0.05,1.0,0.0
96,1909-01-01,1,0,0,0.05,1.0,0.0
97,1909-02-01,1,0,0,0.05,1.0,0.0
98,1909-03-01,1,0,0,0.05,1.0,0.0
99,1909-04-01,1,0,0,0.05,1.0,0.006445076421048912
100,1909-05-01,1,0,0,0.05,1.0,0.10147415141088395
101,1909-06-01,1,0,0,0.05,1.0,0.08944766033993506
102,1909-07-01,1,0,0,0.05,1.0,0.08774737694501955
103,1909-08-01,1,0,0,0.05,1.0,0.10169691757525351
104,1909-09-01,1,0,0,0.05,1.0,0.08584063026614018
105,1909-10-01,1,0,0,0.05,1.0,0.0030460986517968167
106,1909-11-01,1,0,0,0.05,1.0,0.0
107,1909-12-01,1,0,0,0.05,1.0,0.0
108,1910-01-01,1,0,0,0.05,1.0,0.0
109,1910-02-01,1,0,0,0.05,1.0,0.0
110,1910-03-01,1,0,0,0.05,1.0,0.0
111,1910-04-01,1,0,0,0.05,1.0,0.004481093566025584
112,1910-05-01,1,0,0,0.05,1.0,0.08013377916704774
113,1910-06-01,1,0,0,0.05,1.0,0.08535259745397519
114,1910-07-01,1,0,0,0.05,1.0,0.06499084618287498
115,1910-08-01,1,0,0,0.05,1.0,0.08117510448189028
116,1910-09-01,1,0,0,0.05,1.0,0.12341472322372857
117,1910-10-01,1,0,0,0.05,1.0,0.052340946668508394
118,1910-11-01,1,0,0,0.05,1.0,0.0
119,1910-12-01,1,0,0,0.05,1.0,0.0
120,1911-01-01,1,0,0,0.05,1.0,0.0
121,1911-02-01,1,0,0,0.05,1.0,0.0
122,1911-03-01,1,0,0,0.05,1.0,0.0
123,1911-04-01,1,0,0,0.05,1.0,0.0009205225180433532
124,1911-05-01,1,0,0,0.05,1.0,0.14899117411609253
125,1911-06-01,1,0,0,0.05,1.0,0.07707111659491794
126,1911-07-01,1,0,0,0.05,1.0,0.08393703854136682
127,1911-08-01,1,0,0,0.05,1.0,0.10209495941141133
128,1911-09-01,1,0,0,0.05,1.0,0.12827562226045983
129,1911-10-01,1,0,0,0.05,1.0,0.09541831990198144
130,1911-11-01,1,0,0,0.05,1.0,0.0
131,1911-12-01,1,0,0,0.05,1.0,0.0
132,1912-01-01,1,0,0,0.05,1.0,0.0
133,1912-02-01,1,0,0,0.05,1.0,0.0
134,1912-03-01,1,0,0,0.05,1.0,0.0
135,1912-04-01,1,0,0,0.05,1.0,0.061138368793390525
136,1912-05-01,1,0,0,0.05,1.0,0.08191702216977224
137,1912-06-01,1,0,0,0.05,1.0,0.10362065801446203
138,1912-07-01,1,0,0,0.05,1.0,0.10529183849907307
139,1912-08-01,1,0,0,0.05,1.0,0.13432706904910496
140,1912-09-01,1,0,0,0.05,1.0,0.13752234642951536
141,1912-10-01,1,0,0,0.05,1.0,0.08411217871150428
142,1912-11-01,1,0,0,0.05,1.0,0.0
143,1912-12-01,1,0,0,0.05,1.0,0.0
144,1913-01-01,1,0,0,0.05,1.0,0.0
145,1913-02-01,1,0,0,0.05,1.0,0.0
146,1913-03-01,1,0,0,0.05,1.0,0.0
147,1913-04-01,1,0,0,0.05,1.0,0.01645971416373054
148,1913-05-01,1,0,0,0.05,1.0,0.05230758642380246
149,1913-06-01,1,0,0,0.05,1.0,0.06938172762980405
150,1913-07-01,1,0,0,0.05,1.0,0.07497162763263082
151,1913-08-01,1,0,0,0.05,1.0,0.11666323374864071
152,1913-09-01,1,0,0,0.05,1.0,0.11318763429669276
153,1913-10-01,1,0,0,0.05,1.0,0.011993862203011588
154,1913-11-01,1,0,0,0.05,1.0,0.0
155,1913-12-01,1,0,0,0.05,1.0,0.0
156,1914-01-01,1,0,0,0.05,1.0,0.0
157,1914-02-01,1,0,0,0.05,1.0,0.0
158,1914-03-01,1,0,0,0.05,1.0,0.0
159,1914-04-01,1,0,0,0.05,1.0,0.02595963322013076
160,1914-05-01,1,0,0,0.05,1.0,0.10441128644439393
161,1914-06-01,1,0,0,0.05,1.0,0.09175488171777972
162,1914-07-01,1,0,0,0.05,1.0,0.0992197002232949
163,1914-08-01,1,0,0,0.05,1.0,0.11840312776501381
164,1914-09-01,1,0,0,0.05,1.0,0.1561775030413943
165,1914-10-01,1,0,0,0.05,1.0,0.11223195659257137
166,1914-11-01,1,0,0,0.05,1.0,0.0
167,1914-12-01,1,0,0,0.05,1.0,0.0
168,1915-01-01,1,0,0,0.05,1.0,0.0
169,1915-02-01,1,0,0,0.05,1.0,0.0
170,1915-03-01,1,0,0,0.05,1.0,0.0
171,1915-04-01,1,0,0,0.05,1.0,0.08275388475167764
172,1915-05-01,1,0,0,0.05,1.0,0.07451365877930732
173,1915-06-01,1,0,0,0.05,1.0,0.08239682188942857
174,1915-07-01,1,0,0,0.05,1.0,0.08761338090308668
175,1915-08-01,1,0,0,0.05,1.0,0.11745953222916453
176,1915-09-01,1,0,0,0.05,1.0,0.18775002335008495
177,1915-10-01,1,0,0,0.05,1.0,0.026161355597598843
178,1915-11-01,1,0,0,0.05,1.0,0.0
179,1915-12-01,1,0,0,0.05,1.0,0.0
180,1916-01-01,1,0,0,0.05,1.0,0.0
181,1916-02-01,1,0,0,0.05,1.0,0.0
182,1916-03-01,1,0,0,0.05,1.0,0.0
183,1916-04-01,1,0,0,0.05,1.0,0.06564075330193694
184,1916-05-01,1,0,0,0.05,1.0,0.1424418351195506
185,1916-06-01,1,0,0,0.05,1.0,0.1175519199596155
186,1916-07-01,1,0,0,0.05,1.0,0.12979372541530576
187,1916-08-01,1,0,0,0.05,1.0,0.15242493934624726
188,1916-09-01,1,0,0,0.05,1.0,0.17751262826339684
189,1916-10-01,1,0,0,0.05,1.0,0.118509594010208
190,1916-11-01,1,0,0,0.05,1.0,0.0008643147943719993
191,1916-12-01,1,0,0,0.05,1.0,0.0
192,1917-01-01,1,0,0,0.05,1.0,0.0
193,1917-02-01,1,0,0,0.05,1.0,0.0
194,1917-03-01,1,0,0,0.05,1.0,0.0
195,1917-04-01,1,0,0,0.05,1.0,0.04460525508261522
196,1917-05-01,1,0,0,0.05,1.0,0.10190599465273109
197,1917-06-01,1,0,0,0.05,1.0,0.07915855733645832
198,1917-07-01,1,0,0,0.05,1.0,0.1420156196504074
199,1917-08-01,1,0,0,0.05,1.0,0.15225364527445226
200,1917-09-01,1,0,0,0.05,1.0,0.14082847064415543
201,1917-10-01,1,0,0,0.05,1.0,0.06576814417818466
202,1917-11-01,1,0,0,0.05,1.0,0.0
203,1917-12-01,1,0,0,0.05,1.0,0.0
204,1918-01-01,1,0,0,0.05,1.0,0.0
