Name,Description,Units,Yearly,Monthly,Daily,PFT,Compartments,Layers,Data Type,Placeholder
RH,Heterotrophic respiration,gC/m2/time,,,invalid,invalid,invalid,,double,
RM,Maintenance respiration,gC/m2/time,,,invalid,,,invalid,double,
ROLB,Relative organic layer burned,gC/gC,,,invalid,invalid,invalid,invalid,double,
ROOTWATERUPTAKE,Water uptake by roots per layer,,,,,invalid,invalid,,double,
SHLWC,Fibrous SOM C,gC/m2,,,invalid,invalid,invalid,invalid,double,
SHLWDZ,Fibrous SOM layer thickness,m,,invalid,invalid,invalid,invalid,invalid,double,
SNOWEND,DOY of last snow fall,DOY,,invalid,invalid,invalid,invalid,invalid,int,
SNOWFALL,Total snowfall,mm,,,invalid,invalid,invalid,invalid,double,
SNOWSTART,DOY of first snow fall,DOY,,invalid,invalid,invalid,invalid,invalid,int,
SNOWTHICK,Snow pack thickness,m,,,,invalid,invalid,invalid,double,
SOC,Soil organic C,gC/m2,,,invalid,invalid,invalid,,double,
SWE,Snow water equivalent,kg/m2,,,,invalid,invalid,invalid,double,
TCDEEP,Thermal conductivity in amorphous layer,W/m/K,,,,invalid,invalid,invalid,double,
TCLAYER,Thermal conductivity by layer,W/m/K,,,invalid,invalid,invalid,,double,
TCMINEA,Thermal conductivity top mineral,W/m/K,,,,invalid,invalid,invalid,double,
TCMINEB,Thermal conductivity middle mineral,W/m/K,,,,invalid,invalid,invalid,double,
TCMINEC,Thermal conductivity bottom mineral,W/m/K,,,,invalid,invalid,invalid,double,
TCSHLW,Thermal conductivity in fibrous layer,W/m/K,,,,invalid,invalid,invalid,double,
TDEEP,Temperature in amorphous layer,degree_C,,,,invalid,invalid,invalid,double,
TLAYER,Temperature by layer,degree_C,,,invalid,invalid,invalid,,double,
TMINEA,Temperature top mineral,degree_C,,,,invalid,invalid,invalid,double,
TMINEB,Temperature middle mineral,degree_C,,,,invalid,invalid,invalid,double,
TMINEC,Temperature bottom mineral,degree_C,,,,invalid,invalid,invalid,double,
TRANSPIRATION,Transpiration,mm/day,,,,,invalid,invalid,double,
TSHLW,Temperature in fibrous layer,degree_C,,,,invalid,invalid,invalid,double,
VEGC,Total veg. biomass C,gC/m2,,,invalid,,,invalid,double,
VEGN,Total veg. biomass N,gN/m2,,,invalid,,,invalid,double,
VWCDEEP,VWC in amorphous layer,m3/m3,,,,invalid,invalid,invalid,double,
VWCLAYER,VWC by layer,m3/m3,,,invalid,invalid,invalid,,double,
VWCMINEA,VWC top mineral,m3/m3,,,,invalid,invalid,invalid,double,
VWCMINEB,VWC middle mineral,m3/m3,,,,invalid,invalid,invalid,double,
VWCMINEC,VWC bottom mineral,m3/m3,,,,invalid,invalid,invalid,double,
VWCSHLW,VWC in fibrous layer,m3/m3,,,,invalid,invalid,invalid,double,
WATERTAB,Water table depth below surface,m,,,,invalid,invalid,invalid,double,
WDRH,Dead woody debris HR,gC/m2/time,,,invalid,invalid,invalid,invalid,double,
YSD,Years since last disturbance,Years,,invalid,invalid,invalid,invalid,invalid,int,
