NPP_pft0,NPP_pft1,NPP_pft2,VEGN_pft0_Leaf,VEGN_pft0_Root,VEGN_pft1_Leaf,VEGN_pft2_Leaf,VEGC_pft0_Leaf,VEGC_pft0_Root,VEGC_pft1_Leaf,VEGC_pft2_Leaf,SHLWC,DEEPC,MINEC,AVLN,INGPP_pft0,INGPP_pft1,INGPP_pft2
115.32773097157478,99.48344338461756,16.492324689775707,10.764864921569824,0.1491553708910942,10.139729499816896,1.2004939317703247,128.4027069091797,14.786665058135986,170.26250152587892,26.284844970703126,7603.175370597839,7948.038293838501,23422.58517617424,0.1462964394595474,254.8201493382454,258.3560178756714,42.35991344451904
113.87915001995862,96.23986057043076,16.258693196624517,10.876451873779295,0.1429707869887352,10.68125057220459,1.2207207679748535,128.3811004638672,14.225968837738035,175.41580200195312,26.574765586853022,7364.617258644104,7916.487124252319,23567.515096581523,0.3658609898295253,252.74356085062027,258.01952743530273,42.21581635475159
114.6807687740773,96.02078905105591,16.04215580262244,10.635347366333008,0.1402778193354606,10.710238456726074,1.278645431995392,127.94129028320312,13.936231708526613,175.52378845214844,27.41488265991211,7501.846617698669,7904.974156951905,23328.059167371957,0.3836375394370407,252.76613509655,258.0144594192505,42.62111325263977
115.04288855083288,95.43306712806223,15.901516906544568,10.508891105651855,0.1344326928257942,10.806994438171388,1.2923184275627135,126.81743469238282,13.363297843933106,176.28942260742187,27.48630428314209,7418.100947761535,7893.489881515503,23294.246495401057,0.3550102792680263,252.4557176351547,257.9692611694336,42.623999857902525
115.4667376924306,99.49356515705584,16.276734752207993,10.843246841430664,0.1349467799067497,10.159345626831056,1.2581831216812134,129.11443023681642,13.421476554870605,170.84776306152344,27.178723907470705,7786.220337104797,7995.269161605835,23391.80012279771,0.1570905278436839,254.8842722415924,258.3120685577393,42.746329116821286
114.03108017612249,95.07126765847208,16.389166878163813,10.861216831207276,0.142274434864521,10.844079971313477,1.181333303451538,128.26947326660155,14.151611423492431,176.16485595703125,25.97795715332031,7471.063108634949,7916.439667129516,23510.15148790416,0.3754939209669828,252.9247911810875,257.9793863296509,41.90046033859253
113.24887227378784,94.26423762440682,15.99744810424745,10.882666206359865,0.1550384312868118,10.947999954223633,1.2382271766662598,128.19642486572266,15.35473566055298,176.44937286376953,26.653048706054687,7243.893712806702,7983.4348781585695,23534.55960053088,0.3334631495643407,253.2164916932583,256.99120445251464,42.048725938797
112.9294135062024,95.17902874350548,15.983422046154738,11.01552324295044,0.1442882165312767,10.874298095703123,1.2743467092514038,128.7767074584961,14.34007968902588,177.27488708496094,27.32552261352539,7401.201473617553,7941.400674057007,23588.87952447184,0.372330414969474,252.28783267736435,257.9035720825196,42.46574137210846
114.76439672056586,98.16325121223926,16.347335124760868,10.85410976409912,0.1402634248137474,10.359333038330078,1.2271856784820556,128.85926818847656,13.9385422706604,172.4674835205078,26.720592880249026,7495.1248195648195,7929.077711868286,23541.706380256637,0.1440608862787485,253.80928188562396,258.20733947753905,42.44117412567139
114.9126979155466,96.26323242783546,16.19730687364936,10.53117618560791,0.1417419478297233,10.67141819000244,1.2444100975990295,126.98653259277344,14.056450462341308,175.22857666015625,26.94284267425537,7379.174885177612,7914.353590393066,23340.4584222464,0.3722911556251347,252.68941286206243,258.0336059570312,42.42324571609497
