,GPP,NPP,$C_{leaf}$,$C_{stem}$,$C_{root}$,$N_{leaf}$,$N_{stem}$,$N_{root}$
pft0,-0.005461702617111541,-0.5420329127719412,-0.02084404083957933,-0.2132576670681765,-0.041371181580295846,0.5289339189676368,-0.06098353301877474,-0.09409272638791166
pft1,0.009642737874769741,0.01558727161014195,-0.00554711176393912,0.0057746140312572025,0.015944184825748803,-0.04313070474219294,0.023313615299698942,0.03954729653460487
pft2,0.0014049076588303917,0.0012625308342219437,-0.004168777902043581,,,-0.00490627468480564,,
pft3,-0.006148394244020965,-0.0018370354830884728,-0.05361529184816764,,,-0.15042865115694298,,
