,GPP,NPP,$C_{leaf}$,$C_{stem}$,$C_{root}$,$N_{leaf}$,$N_{stem}$,$N_{root}$
pft0,-0.04930940087745461,-0.2276006089010696,0.10726093576306014,-0.13698059490621528,-0.27288618542313087,0.20079882294313045,-0.08709445848202046,-0.4579779182759144
pft1,-0.5662695401723568,-0.5408880464765602,-0.05603444882284587,-0.4757292383197003,-0.14476629909123045,-0.2803308453692828,-0.35566129899562743,-0.1857287695682736
pft2,0.06060171567476714,0.05229768819348108,-0.007057453426970928,0.041781177212796845,0.11709158419443659,-0.017466169013116595,0.13805283830876935,0.16964287996889657
pft3,0.2146486943265894,0.22732722396182486,0.11569440302418718,,,0.19693694078832646,,
pft4,0.12094348401289719,0.05590207182378558,0.0027975382329921833,,,0.02694612840064485,,
pft5,0.08072443193917746,0.07879070296717787,0.012977027229872078,,,0.013665520191790168,,
