time,year,month,air_temperature_celsius,precipitation_mm,shortwave_radiation_wm2,vapor_pressure_pa,vpd_pa
1954-10-01,1954,10,-2.224853999640345,10.498081344174182,48.47652662935793,355.72221773556726,162.9602008470573
1954-11-01,1954,11,-11.230703120761405,12.417532645748963,11.26205401234568,196.12216005157987,62.87722112553294
1954-12-01,1954,12,-26.989061142295892,17.66398751120235,1.3930301672640382,48.51200422205426,18.07889182181802
1955-01-01,1955,1,-16.135448160479143,16.647566850526374,5.932204301075269,128.0276530128273,45.23666779308405
1955-02-01,1955,2,-23.1384951909383,22.295367588831997,31.96548115079365,64.94784658093786,29.58174475192058
1955-03-01,1955,3,-13.23968810624973,30.08918470260724,97.8413004092418,156.46914523506652,63.67695846577931
1955-04-01,1955,4,-7.7964636696709135,15.623127692908412,185.16905401234567,237.3880266142595,102.31728623569052
1955-05-01,1955,5,4.468546003936467,60.41204557898894,230.3618555854241,544.5524003298178,295.88502439708475
1955-06-01,1955,6,10.393017853630909,141.21587820058323,212.9230200617284,869.9844177911873,390.62144253361134
1955-07-01,1955,7,14.59685929411205,57.657781617823645,220.8675791517324,1142.6139457666718,518.8580435467638
1955-08-01,1955,8,10.032570406185698,128.98248465011974,149.55315337514935,880.7371190617353,349.83733305480837
1955-09-01,1955,9,4.698026869032162,55.162486827519785,93.05676099292144,654.1024271525127,199.95289041511785
1955-10-01,1955,10,-6.359734373195181,22.50312621352535,42.850599490841375,293.57419036090755,86.04356470869448
1955-11-01,1955,11,-21.873119460211825,13.911266165095526,11.926512345679011,73.41918848598942,32.35530916525356
1955-12-01,1955,12,-23.363691834480505,52.446695066066695,1.292423835125448,66.89953924881456,25.745049467367863
1956-01-01,1956,1,-26.412821525655744,16.417193342100234,5.484024790919952,48.43286900656241,21.799638251388885
1956-02-01,1956,2,-22.963696762611107,27.074228033200143,31.035831736909323,70.6780150772646,25.338319336395983
1956-03-01,1956,3,-15.063410678986545,18.085929151141045,105.23086522474938,130.6038243239695,58.8605515261838
1956-04-01,1956,4,-3.1565435621473057,14.837487235798363,190.96929783950617,326.8703599041502,157.05181776779386
1956-05-01,1956,5,5.710347563220637,65.25281011564132,222.04306376941457,600.4061967308741,316.0729722151473
1956-06-01,1956,6,11.308332485622827,101.46394114250512,231.5267762345679,959.396339917818,380.3847580615226
1956-07-01,1956,7,14.382763737504206,77.18380327364827,208.93709453405015,1161.7115066099277,476.9256677563644
1956-08-01,1956,8,11.034456281764562,129.48688727788493,130.9082773297491,1054.7749386738858,260.86997703967995
1956-09-01,1956,9,4.178707355923166,68.19507026672511,89.85920589795525,593.5560492404363,229.9556453775267
1956-10-01,1956,10,-10.91268358128042,26.95315538713672,46.13784876377922,197.8810686456861,67.79828729320823
1956-11-01,1956,11,-19.5485670937432,31.02527037850677,11.031685185185186,99.65682411104665,29.934116676602784
1956-12-01,1956,12,-27.71880169530067,7.7319800334016975,1.4223043608124253,45.0440623990549,17.17871515265866
1957-01-01,1957,1,-14.710564471829288,61.265518627237725,4.431061827956989,148.4448017189709,46.639498034757565
1957-02-01,1957,2,-19.191781175704197,36.797499857925686,35.19875330687831,95.65389636338864,37.98864076298949
1957-03-01,1957,3,-9.852611656599152,11.070525147264476,102.77300763311352,205.06944137150515,83.99741606035997
1957-04-01,1957,4,-1.9593833711412003,7.0042197768351855,189.5260462962963,379.3420213780555,149.64108511917152
1957-05-01,1957,5,5.083597314485985,33.21564906876873,238.6275821385902,573.3881741855482,303.98625459426023
1957-06-01,1957,6,15.125778897603368,56.351006989267205,275.3916882716049,1065.5426581357824,653.5428195242187
1957-07-01,1957,7,14.624809150285614,74.26827154175797,222.56044429510155,1099.1306221100551,565.3429172947153
1957-08-01,1957,8,14.276151849890311,28.581080464995523,168.2004861111111,1111.6718757074095,515.6974060519394
1957-09-01,1957,9,5.650153160095215,53.30668446145026,92.91169420331792,647.0821483431395,265.5757790720497
1957-10-01,1957,10,-3.0326862048077032,40.83170223585242,43.046950693802735,399.38159843808097,89.03930177805233
1957-11-01,1957,11,-10.42640054490829,19.403915073485933,10.178185185185184,217.2254291906808,58.96478172707771
1957-12-01,1957,12,-24.854341498754337,6.751156940520531,1.303336320191159,60.18404215627774,20.80912325163743
1958-01-01,1958,1,-16.232674580235596,18.306468354598596,5.476021505376344,128.91302111086412,42.94505901463526
1958-02-01,1958,2,-17.02770323526289,4.59415473545377,37.81180968915344,106.0008253564566,54.73493762248697
1958-03-01,1958,3,-10.266867188484412,17.258293207834896,102.05179308654871,209.2589701185429,70.45917409065004
1958-04-01,1958,4,-1.742140981886109,18.88527367074033,189.5158572530864,375.40887517052136,162.13787252760415
1958-05-01,1958,5,6.303729711553103,46.33382936801311,231.19018891875743,584.8437555027256,370.06567950467524
1958-06-01,1958,6,14.986590660942966,45.84572762243866,244.99302314814813,966.1174485140996,737.6393990208205
1958-07-01,1958,7,15.540912923505232,66.75374894136255,216.13560185185185,1086.07468533565,679.4495292049971
1958-08-01,1958,8,12.70476325660627,68.19124252331576,169.02316233572282,1013.1841619567588,455.8112640974157
1958-09-01,1958,9,4.499115350511374,46.08504452839313,99.09350209780092,632.6721576562776,209.5681898906953
1958-10-01,1958,10,-11.462739649126604,44.15412048884448,48.09850534764954,194.09657085474464,60.12361777773856
1958-11-01,1958,11,-16.907323879665796,19.094853328663675,10.727351851851852,128.52352209932388,33.853928988338765
1958-12-01,1958,12,-17.531628979918764,11.622464158161703,1.4186409796893669,106.65838538304604,47.36466253951551
1959-01-01,1959,1,-23.39057187316237,2.990880271127594,6.480507765830346,59.23938463306617,33.18246951298797
1959-02-01,1959,2,-12.676109854380286,34.250593932199536,31.99254381613757,181.153104374918,49.33064876659117
1959-03-01,1959,3,-21.10593083289359,10.05465380885795,106.68733549484928,77.9906849317782,35.170590545418136
1959-04-01,1959,4,-5.473756111992714,7.338365188267915,185.2213703703704,274.7706268504654,131.48450189569962
1959-05-01,1959,5,4.783791314401981,67.28180887381541,218.0402703106332,586.6342035205101,272.5602940790941
1959-06-01,1959,6,13.741726917690698,82.47107743402893,255.8183765432099,988.4796963166724,583.4239747887701
1959-07-01,1959,7,11.32882951715942,184.21248526401607,168.76948252688172,964.687505466762,376.9155047890596
1959-08-01,1959,8,10.578130238030552,51.711138141609325,166.06094608721625,864.2667738966665,412.01104311807387
1959-09-01,1959,9,4.167175483703659,64.63922007631595,96.69865907118056,634.2087073716848,188.63582515926328
1959-10-01,1959,10,-4.702716306460786,13.55674126518025,47.15299762958267,293.1979586818624,137.5743028855693
1959-11-01,1959,11,-12.85512972937687,23.63197813046014,10.327787037037035,171.74813512035996,55.405998386035265
1959-12-01,1959,12,-21.518472929923742,13.204767407479778,1.3020818399044205,82.73940624726822,26.394354233792257
1960-01-01,1960,1,-18.136543511831604,30.99894979912321,5.450549581839905,112.09586201421408,34.20050568196808
1960-02-01,1960,2,-13.278501804395605,6.838059361253812,33.79743374840358,164.46669199732594,54.98290042463901
1960-03-01,1960,3,-16.652196137623093,4.69243349944648,111.72563448998235,109.06623235354174,56.8401104119403
1960-04-01,1960,4,-6.69962721930608,15.993839768647431,186.72764043209875,258.6244592199116,111.19306226093562
1960-05-01,1960,5,8.259189511370948,25.703221097366225,256.8017809139785,597.2252767363639,494.5704436897961
1960-06-01,1960,6,11.649293878343371,53.34063564879088,246.8723688271605,788.5303614192057,581.8420958106137
1960-07-01,1960,7,14.33333531041302,137.53802106528212,205.8584520609319,1091.27511889557,542.1294462555966
1960-08-01,1960,8,10.698776642994233,83.2209361579217,146.1161364994026,959.2247114053812,327.3592011642113
1960-09-01,1960,9,3.021112929450169,109.59196984934394,84.66252278645834,588.8313166865175,170.04052421183758
1960-10-01,1960,10,-6.996703744703723,32.76388159944688,47.87469384707288,303.0365620586127,58.3998393467981
1960-11-01,1960,11,-18.54236378139916,11.7154909711239,10.639524691358025,108.85052868106526,32.45814257784674
