,date,GPP,NPP,RH,RECO,NEE
0,1901-01-01,0.0,-1.1924849645001814,9.203770301975965,10.396255266476146,10.396255266476146
1,1901-02-01,0.0,-2.1913189694751054,9.30394038644772,11.495259355922826,11.495259355922826
2,1901-03-01,0.0,-10.781711135059595,10.824286592327553,21.605997727387148,21.605997727387148
3,1901-04-01,0.0,-28.11104770563543,13.30569438990824,41.41674209554367,41.41674209554367
4,1901-05-01,100.36934082210064,31.336259186267853,54.144703611935256,123.17778806036222,22.80844723826158
5,1901-06-01,274.5488898009062,151.48704208433628,281.60604973752925,404.66788489242026,130.11899509151408
6,1901-07-01,378.13156743347645,230.85948631167412,24.40975793159123,171.68183365358527,-206.44973377989118
7,1901-08-01,355.66497325897217,223.55707728862762,19.246327306059356,151.3542149019513,-204.31075835702086
8,1901-09-01,206.7125905007124,114.05438101291656,7.186792452986083,99.84498823171361,-106.86760226899878
9,1901-10-01,0.0,-38.18123543262482,43.44623798262547,81.62747341525028,81.62747341525028
10,1901-11-01,0.0,-7.842318648472428,18.299266973450358,26.141585621922786,26.141585621922786
11,1901-12-01,0.0,-4.658400996122509,14.454886110210282,19.11328710633279,19.11328710633279
12,1902-01-01,0.0,-2.459392874734476,11.437338094587176,13.896730969321652,13.896730969321652
13,1902-02-01,0.0,-5.337229295633733,11.787434420879435,17.12466371651317,17.12466371651317
14,1902-03-01,0.0,-4.6368598183617,11.527741870268073,16.164601688629773,16.164601688629773
15,1902-04-01,0.0,-26.41461762227118,13.82609704427523,40.24071466654641,40.24071466654641
16,1902-05-01,116.47357973456383,43.051145792007446,58.50238129107311,131.9248227177377,15.45124298317387
17,1902-06-01,269.3719589263201,143.08310174942017,269.3092099400819,395.5980700078071,126.22611108148703
18,1902-07-01,318.42546182870865,174.316288292408,22.07418163076909,166.18334874839456,-152.24211308031408
19,1902-08-01,353.54309859871864,221.88558943010867,0.0,131.65752275288105,-221.8855758458376
20,1902-09-01,194.31033837795258,108.26671040058136,97.49327618955431,183.53690643190203,-10.77343194605055
21,1902-10-01,0.0,-35.35471632704139,29.723055957674667,65.07777228471605,65.07777228471605
22,1902-11-01,0.0,-4.362137079704553,14.053455551331353,18.415592631035906,18.415592631035906
23,1902-12-01,0.0,-0.943225079565309,9.290430122899124,10.233655202464433,10.233655202464433
24,1903-01-01,0.0,-0.6293922009062953,8.415658205327418,9.045050406233713,9.045050406233713
25,1903-02-01,0.0,-3.230877558235079,9.361860910583346,12.592738468818425,12.592738468818425
26,1903-03-01,0.0,-7.61587468162179,10.48793407854646,18.10380876016825,18.10380876016825
27,1903-04-01,0.0,-24.83416322618723,12.650236936384317,37.484400162571546,37.484400162571546
28,1903-05-01,105.34160493314266,37.72244483232498,20.98715874303889,88.60631936539721,-16.73528556774545
29,1903-06-01,226.10254780948162,111.01252090930939,269.7712704191217,384.86130702740047,158.75875921791885
30,1903-07-01,393.1954482793808,250.38514000177383,7.800223746914526,150.61052981542434,-242.58491846395646
31,1903-08-01,355.27651922404766,222.55784785747528,0.001057202514418154,132.71971995621564,-222.55679926783202
32,1903-09-01,172.31915804743767,89.72123321890831,0.0,82.59792415052652,-89.72123389691114
33,1903-10-01,0.0,-25.900919580832124,39.44986315213828,65.3507827329704,65.3507827329704
34,1903-11-01,0.0,-4.802885479293764,7.847085839262036,12.6499713185558,12.6499713185558
35,1903-12-01,0.0,-4.793324338272214,7.785449163987323,12.578773502259537,12.578773502259537
36,1904-01-01,0.0,-0.853775929834228,4.754522125389485,5.608298055223713,5.608298055223713
37,1904-02-01,0.0,-0.8475312661612406,4.628804611463693,5.476335877624933,5.476335877624933
38,1904-03-02,0.0,-4.509633648674935,7.161088518893848,11.670722167568783,11.670722167568783
39,1904-04-02,0.0,-34.12700743228197,16.62921329560413,50.7562207278861,50.7562207278861
40,1904-05-02,132.0839994326234,56.46580398082733,113.47481196738227,189.09299727893813,57.00899784631474
41,1904-06-02,308.63568840920925,182.21237516403198,275.52588419664244,401.949200243238,93.31351183402876
42,1904-07-02,318.1928147673607,176.23477983474731,34.90254618310064,176.8605644115123,-141.33225035584837
43,1904-08-02,347.7140637040138,226.09720361232758,0.015375662623348774,121.63224546241611,-226.08181824159772
44,1904-09-02,140.88841219246387,67.9141152203083,0.007779930877410024,72.98208481927486,-67.90632737318901
45,1904-10-02,0.0,-30.774407727643847,31.14910289376712,61.92351062141097,61.92351062141097
46,1904-11-02,0.0,-6.437837445177138,9.547501324204859,15.985338769381997,15.985338769381997
47,1904-12-02,0.0,-5.5672378228046,7.599140886359237,13.166378709163837,13.166378709163837
48,1905-01-02,0.0,-2.7878482996020466,7.774745270959102,10.562593570561148,10.562593570561148
49,1905-02-02,0.0,-8.549463173374534,9.561524612019639,18.110987785394173,18.110987785394173
50,1905-03-02,0.0,-16.59726721420884,11.425850320389145,28.023117534597986,28.023117534597986
51,1905-04-02,0.0,-41.54829228296876,16.685180440177646,58.233472723146406,58.233472723146406
52,1905-05-02,214.98938252031803,126.51474356651306,165.47741664719797,253.95203763765312,38.96265511733509
53,1905-06-02,305.09831877052784,176.45684587955475,162.1088839122167,290.7503651627412,-14.347953607786621
54,1905-07-02,399.6061510294676,252.41131782531738,27.595015298270482,174.7898459990256,-224.81630503044198
55,1905-08-02,351.1590987443924,220.90565073490143,18.78914551296748,149.04261885443248,-202.11647988995992
56,1905-09-02,118.80945394188166,47.77312055230141,46.861833008526446,117.89816362276542,-0.9112903191162331
57,1905-10-02,0.0,-31.688855243846774,33.439018710236276,65.12787395408304,65.12787395408304
