date,RECO_black_spruce_modeled,GPP_black_spruce_modeled,NEE_black_spruce_modeled,RECO_birch_modeled,GPP_birch_modeled,NEE_birch_modeled,GPP_observed_RF,RECO_observed_RF,NEE_observed_RF,GPP_observed_oneflux,RECO_observed_oneflux,NEE_observed_oneflux,tair,nirr,precip
2019-01-01,2.0161642423331614,0.0,2.0161642423331614,0.9194103430318279,0.0,0.9194103430318279,-0.1219503324687446,4.334818141029363,4.456766093745867,12.129369281310778,2.9270566242066387,-9.454908777109026,-18.896818,5.6597223,12.376407
2019-02-01,4.284375379140329,0.0,4.284375379140329,1.9291742762588342,0.0,1.9291742762588342,-0.0066824910898199,6.269761206630001,6.276437460278279,1.7498662915019108,4.8020430343932,3.0588054546269867,-13.848372,26.493053,36.143192
2019-03-01,13.10077285929674,0.0,13.10077285929674,5.889457112069977,0.0,5.889457112069977,5.412348189056753,19.67989182264,14.267545454964598,3.115763623048338,12.886629830595,10.073318867994391,-4.841959,72.27173,22.063362
2019-04-01,22.638318029655238,2.7594956727698445,19.878822356885394,10.301105296900005,3.0309440597843604,7.270161237115644,20.80662916889556,24.11863253334,3.3120254924130594,27.774847716321595,27.843134066712,0.0593894527439796,0.1774027,150.54887,13.390703
2019-05-01,86.6422673487723,115.1107982290414,-28.4685308802691,89.41716937500678,86.97348629547741,2.4436830795293645,63.37615853342879,40.41861858504,-22.957563650364,106.0608744176364,78.44824768474798,-28.035429916032754,9.335509,184.61305,19.75608
2019-06-01,136.94477733119493,165.33464807688142,-28.389870745686494,106.46730419855248,121.31996533430174,-14.852661135749258,87.52098410248409,57.3484119912,-30.172601123721,184.4744463567556,145.52040978846,-59.82569947345921,16.245186,223.42023,31.273298
2019-07-01,146.232899943112,175.31705218541902,-29.084152242307027,95.617769221667,115.18297107668968,-19.56520185502268,85.5754276864266,76.2102769644,-9.365101990731,148.23867728021577,132.49576345787997,128.21423864989094,17.587046,189.5111,23.272295
2019-08-01,134.9825704628347,159.38323465330177,-24.40066419046707,87.44615484233873,100.21326015945306,-12.767105317114328,94.7749387372056,85.7586730158,-9.0163035615528,101.26446609535728,105.72003098226,4.035633125516755,12.448481,135.1339,98.09028
2019-09-01,102.7001686706426,95.30185180733679,7.3983168633058085,56.646615942760036,60.41939252751217,-3.772776584752137,60.7444523802198,73.4776925868,12.733199275058997,61.9521220249092,72.56753976563999,12.098183562045536,7.9226084,80.83808,35.085133
2019-10-01,58.84508771939493,0.18249726659269072,58.66259045280224,24.312376640458524,0.13383362370950636,24.178543016749018,6.3751548324024006,28.77047354376,22.3953104857086,8.821209811154832,27.904520950254,18.72280975415138,-1.1161959,33.925762,27.452785
2019-11-01,9.387597112100595,0.0,9.387597112100595,4.565790665946793,0.0,4.565790665946793,1.11229339704939,10.3173829002,9.20509666486974,3.4006761842405018,9.43826924083914,5.981061104408741,-9.745136,10.057871,85.40087
