time,year,month,air_temperature_celsius,precipitation_mm,shortwave_radiation_wm2,vapor_pressure_pa
1950-02-01,1950,2,-28.10458636965069,7.073948317078305,41.05846478174603,38.585816649440936
1950-03-01,1950,3,-8.497208105107745,7.263160195531526,103.41613431112455,232.13040615601133
1950-04-01,1950,4,-4.167729632059718,6.2446212444946525,193.3109899691358,305.6793323641586
1950-05-01,1950,5,6.187832953340262,32.509989747136814,233.9695221027479,587.8348728649651
1950-06-01,1950,6,12.746009763081872,38.11957226665541,242.31558024691358,927.3151230207907
1950-07-01,1950,7,16.12973380140079,73.44588560306065,237.534340651135,1171.81874845135
1950-08-01,1950,8,13.844575931179918,19.588987573019523,188.37901284348865,973.7879293223532
1950-09-01,1950,9,6.564169544643846,61.729755104032336,97.24232988522377,698.7619833014668
1950-10-01,1950,10,-4.863470048801844,21.961172056322198,46.87166674824741,322.3208958807871
1950-11-01,1950,11,-20.449836921691883,31.240908935163958,11.79029475308642,88.8981233351726
1950-12-01,1950,12,-19.095307085590946,19.508045212830893,1.2707078853046594,104.99007804339463
1951-01-01,1951,1,-26.660241313647163,18.328947724850053,6.4467517921146955,51.1445860017031
1951-02-01,1951,2,-19.351857793898773,35.11219367550922,30.682687665343916,93.55035918105924
1951-03-01,1951,3,-19.39142597567647,11.811362701731554,104.14829087853289,86.54293199449654
1951-04-01,1951,4,-1.9829349729749879,11.007362479293903,180.51795293209875,381.8151171012239
1951-05-01,1951,5,6.7393650629187505,26.151876908567573,250.85369250298686,601.7531394632026
1951-06-01,1951,6,11.6273910734389,89.28731257188716,254.29335185185184,846.0886282134542
1951-07-01,1951,7,14.208876648769603,66.73804274268846,211.4221833930705,1099.1132042922213
1951-08-01,1951,8,13.40150302763908,71.95393906925673,160.78175104540023,1033.6771343830671
1951-09-01,1951,9,6.7402837965223625,48.20818271026894,95.82891280826522,698.2644731185297
1951-10-01,1951,10,-7.22905375572941,20.709786222329996,50.97514484774682,245.8283733934243
1951-11-01,1951,11,-11.393614069620753,21.232555793901042,10.31520524691358,205.11594127949562
1951-12-01,1951,12,-21.502412582725583,42.29104304441478,1.2166860812425329,82.91355485067461
1952-01-01,1952,1,-25.021877444687675,26.25566406245028,6.472670250896058,52.9602809759302
1952-02-01,1952,2,-18.908948402843237,8.273991474329279,35.31904374201788,100.13097537766545
1952-03-01,1952,3,-14.086815610495933,10.76469191796292,100.60975651420857,148.50593546990746
1952-04-01,1952,4,-4.924368900722925,23.176748656510426,192.93983719135804,295.3234422619959
1952-05-01,1952,5,1.4577314192248991,30.77842504935191,241.75154345878136,455.4966756280022
1952-06-01,1952,6,12.003942044576036,126.22020353840213,235.06262808641975,995.4250182846454
1952-07-01,1952,7,13.704940373410466,85.5221995206854,187.28674581839905,1102.1540644902796
1952-08-01,1952,8,10.07712026616582,63.582283121792926,145.05909722222222,904.3316279130895
1952-09-01,1952,9,3.2184142642551024,59.15287623379939,95.08517361111112,566.798761082584
1952-10-01,1952,10,-2.249216994418873,30.207327132188766,44.196096016395046,398.041542499947
1952-11-01,1952,11,-9.63745825025768,19.842870269485502,9.730657407407408,231.91421647681284
1952-12-01,1952,12,-17.400727233066334,4.028180805562442,1.354937275985663,113.53385568739837
1953-01-01,1953,1,-25.529767325616632,5.167529739196652,6.694018817204301,49.372363973238336
1953-02-01,1953,2,-15.827801881517644,10.05229809110375,29.534905753968253,131.26318107275284
1953-03-01,1953,3,-14.675882187709988,12.61401911183313,107.11792347168551,142.59493568438614
1953-04-01,1953,4,-1.2374379263983428,13.83401802626949,185.45144907407408,357.66420260200266
1953-05-01,1953,5,7.403678327991145,41.59092670757403,218.6372020609319,643.8681254446866
1953-06-01,1953,6,14.06677858564592,106.37009426013933,225.50633796296296,1088.9493222216133
1953-07-01,1953,7,14.816318171511455,100.68762951686949,222.870445041816,1188.1264976387838
1953-08-01,1953,8,11.703267321022622,97.95454247259272,144.28442502986857,980.4577036916477
1953-09-01,1953,9,5.778653717041038,52.631114616772834,99.05803021315586,706.4994851235693
1953-10-01,1953,10,-5.672944111977813,19.385923021179252,47.41607850944127,289.275909076208
1953-11-01,1953,11,-16.372945594787552,1.1028300892235166,12.778347222222223,122.78768124228488
1953-12-01,1953,12,-18.85506487610516,5.141506608591584,1.3613694743130227,102.12312616373643
1954-01-01,1954,1,-23.671972553704364,16.666521577882065,5.749644563918758,62.455582439019715
1954-02-01,1954,2,-25.489427244095566,9.810054538586854,39.03394510582011,52.75464098866415
1954-03-01,1954,3,-10.76568742157309,16.779803193365694,100.35523857590688,188.27696337725445
1954-04-01,1954,4,-6.651640658908377,6.533488865215986,197.89942746913582,237.34323699327314
1954-05-01,1954,5,7.2568002188077685,31.692646007442704,243.80320788530466,573.5684589799635
1954-06-01,1954,6,12.076372994316955,83.96848340966301,239.98576543209876,927.2479970083389
1954-07-01,1954,7,12.99625098115655,122.18096169957704,184.10460349462366,1052.0233027837858
1954-08-01,1954,8,12.04343679694722,67.46235824599722,157.00457586618876,1038.478944699338
