name,bounds,initial,cmtnum,pftnum
micbnup,"[0.01, 2]",0.086468,13,""
kdcrawc,"[0.0001, 0.99]",0.892754,13,""
kdcsoma,"[0.005, 0.8]",0.371875,13,""
kdcsompr,"[0.001, 0.25]",0.159663,13,""
kdcsomcr,"[1e-11, 0.0001]",7e-06,13,""
