9.18, 5.23, 5.24, 7.08, 2.66, -9.61, -2.3, -9.37, -18.66, -3.42, -7.77, -19.93, -3.51, -0.1, -0.38, 0.0, 0.04, 0.2, 0.01, 0.02, 0.02, 0.07, 0.01, 0.02, 0.09, 0.0, 0.0, 0.01, 0.11, 0.11, 0.05, 0.0, 0.04, 0.09, 0.03
7.83, 2.15, 5.89, 2.44, 1.44, -6.09, -0.41, -9.98, -18.0, -9.94, -8.46, -15.73, -2.75, -0.55, -9.98, 0.0, 0.09, 0.19, 0.13, 0.06, 0.01, 0.06, 0.0, 0.02, 0.04, 0.0, 0.0, 0.0, 0.08, 0.2, 0.0, 0.0, 0.0, 0.08, 0.0
5.05, 4.03, 2.21, 7.98, 1.44, -3.68, -3.9, -1.34, -17.46, -3.54, -4.1, -10.92, -7.87, -1.76, -0.25, 0.01, 0.02, 0.07, 0.07, 0.02, 0.01, 0.06, 0.01, 0.03, 0.08, 0.0, 0.0, 0.08, 0.0, 0.03, 0.0, 0.0, 0.08, 0.08, 0.09
6.41, 5.55, 5.57, 4.65, 1.84, -5.43, -3.06, -9.49, -5.63, -6.6, -9.56, -16.32, -4.29, -1.65, -7.98, 0.13, 0.01, 0.0, 0.0, 0.05, 0.0, 0.2, 0.0, 0.05, 0.06, 0.0, 0.0, 0.0, 0.0, 0.01, 0.02, 0.02, 0.0, 0.0, 0.0
7.39, 2.64, 2.99, 7.82, 5.69, -3.24, -2.62, -8.41, -17.82, -0.79, -3.62, -0.15, -4.14, -4.23, -0.18, 0.02, 0.04, 0.0, 0.04, 0.0, 0.0, 0.02, 0.0, 0.05, 0.01, 0.2, 0.0, 0.2, 0.19, 0.19, 0.18, 0.0, 0.0, 0.05, 0.0
9.99, 2.71, 3.5, 5.71, 1.55, -8.6, -2.98, -9.57, -0.12, -0.18, -9.42, -4.39, -0.33, -2.83, -1.7, 0.04, 0.04, 0.05, 0.0, 0.02, 0.02, 0.02, 0.0, 0.01, 0.08, 0.0, 0.1, 0.19, 0.08, 0.17, 0.0, 0.19, 0.0, 0.0, 0.0
5.71, 5.9, 5.56, 3.55, 5.3, -9.99, -3.04, -9.05, -15.49, -4.03, -9.98, -19.25, -9.93, -2.12, -8.42, 0.0, 0.04, 0.0, 0.0, 0.03, 0.02, 0.05, 0.02, 0.0, 0.07, 0.2, 0.06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08
6.14, 1.11, 4.04, 2.04, 2.27, -4.83, -2.9, -6.43, -11.07, -2.36, -8.85, -1.17, -5.01, -8.73, -3.24, 0.0, 0.07, 0.0, 0.0, 0.02, 0.03, 0.0, 0.05, 0.09, 0.08, 0.18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04, 0.0, 0.0, 0.0
8.51, 4.43, 5.2, 7.51, 4.17, -0.34, -5.25, -0.69, -18.8, -0.15, -4.77, -17.23, -1.41, -2.0, -2.12, 0.18, 0.08, 0.03, 0.2, 0.01, 0.0, 0.2, 0.02, 0.0, 0.0, 0.06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04, 0.09, 0.01, 0.0
4.02, 5.37, 5.44, 2.47, 5.85, -5.28, -2.47, -0.94, -5.28, -3.27, -3.04, -3.08, -0.14, -0.24, -0.74, 0.12, 0.05, 0.07, 0.0, 0.02, 0.0, 0.12, 0.0, 0.02, 0.03, 0.0, 0.0, 0.0, 0.0, 0.15, 0.0, 0.0, 0.0, 0.04, 0.0
5.11, 3.1, 1.22, 6.87, 5.82, -9.71, -1.71, -9.04, -7.5, -2.8, -3.2, -19.96, -9.98, -0.61, -8.2, 0.0, 0.04, 0.0, 0.02, 0.01, 0.0, 0.09, 0.01, 0.03, 0.07, 0.0, 0.05, 0.0, 0.0, 0.0, 0.15, 0.0, 0.04, 0.0, 0.01
8.23, 1.12, 5.88, 7.23, 4.27, -6.58, -1.9, -0.94, -10.55, -6.28, -9.28, -8.2, -2.75, -0.17, -7.96, 0.03, 0.05, 0.0, 0.2, 0.02, 0.05, 0.12, 0.01, 0.09, 0.02, 0.0, 0.0, 0.0, 0.0, 0.13, 0.0, 0.14, 0.09, 0.0, 0.0
9.26, 5.77, 5.99, 5.98, 1.66, -9.06, -2.46, -9.95, -0.12, -3.39, -3.51, -1.6, -8.87, -2.15, -0.62, 0.0, 0.04, 0.0, 0.17, 0.02, 0.03, 0.05, 0.01, 0.06, 0.09, 0.0, 0.0, 0.0, 0.0, 0.07, 0.17, 0.13, 0.0, 0.0, 0.0
10.0, 5.62, 1.87, 4.63, 5.51, -9.14, -2.92, -2.39, -10.16, -1.59, -6.22, -1.99, -0.13, -0.18, -5.85, 0.06, 0.02, 0.0, 0.0, 0.02, 0.01, 0.1, 0.02, 0.02, 0.04, 0.01, 0.19, 0.02, 0.02, 0.0, 0.18, 0.0, 0.03, 0.03, 0.0
9.88, 7.77, 1.24, 9.8, 3.04, -5.23, -3.56, -8.79, -15.1, -0.53, -0.2, -1.31, -3.54, -1.67, -19.98, 0.0, 0.02, 0.05, 0.0, 0.04, 0.0, 0.01, 0.0, 0.0, 0.03, 0.0, 0.1, 0.0, 0.0, 0.17, 0.17, 0.16, 0.0, 0.0, 0.0
9.95, 3.54, 7.97, 8.98, 5.35, -5.88, -3.69, -19.87, -13.49, -2.55, -19.94, -17.07, -6.59, -0.62, -13.52, 0.04, 0.03, 0.17, 0.0, 0.0, 0.01, 0.04, 0.01, 0.04, 0.07, 0.07, 0.0, 0.01, 0.0, 0.02, 0.17, 0.1, 0.19, 0.0, 0.0
