5.13, 3.71, 1.07, 5.27, 8.29, -4.32, -5.08, -1.71, -6.42, -4.85, -15.21, -6.0, -6.2, -4.35, -4.01, 0.01, 0.04, 0.23, 0.0, 0.05, 0.01, 0.05, 0.01, 0.04, 0.06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05, 0.0, 0.01, 0.12, 0.0
5.49, 3.99, 0.99, 5.88, 8.17, -4.98, -4.54, -1.83, -7.41, -5.42, -14.47, -6.03, -5.92, -3.62, -4.65, 0.01, 0.05, 0.25, 0.0, 0.05, 0.01, 0.05, 0.01, 0.05, 0.05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05, 0.0, 0.01, 0.1, 0.0
5.28, 3.59, 0.88, 5.3, 7.82, -4.3, -4.61, -1.82, -7.23, -5.7, -14.98, -6.37, -6.5, -3.59, -4.47, 0.0, 0.05, 0.25, 0.0, 0.05, 0.01, 0.06, 0.01, 0.05, 0.05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05, 0.0, 0.01, 0.11, 0.0
4.61, 3.75, 1.05, 5.78, 7.56, -5.21, -4.6, -1.74, -6.6, -5.69, -12.63, -5.86, -6.7, -4.35, -4.36, 0.0, 0.04, 0.23, 0.0, 0.05, 0.01, 0.05, 0.01, 0.05, 0.05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04, 0.0, 0.01, 0.11, 0.01
4.8, 3.8, 1.06, 5.61, 8.65, -4.41, -4.54, -2.03, -7.02, -5.39, -14.85, -6.48, -6.6, -3.8, -4.51, 0.01, 0.04, 0.21, 0.0, 0.05, 0.01, 0.06, 0.01, 0.05, 0.05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04, 0.0, 0.01, 0.12, 0.01
4.83, 3.67, 0.9, 5.29, 8.59, -4.88, -4.9, -1.78, -6.77, -5.6, -13.81, -6.28, -6.67, -3.58, -4.68, 0.0, 0.05, 0.24, 0.0, 0.05, 0.01, 0.05, 0.01, 0.05, 0.05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04, 0.0, 0.01, 0.11, 0.01
4.79, 3.7, 0.53, 5.01, 8.99, -4.5, -4.57, -1.79, -6.56, -5.48, -13.0, -5.69, -5.57, -4.42, -4.29, 0.0, 0.05, 0.25, 0.0, 0.04, 0.01, 0.05, 0.01, 0.05, 0.04, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05, 0.0, 0.01, 0.05, 0.0
4.72, 4.03, 1.03, 5.99, 8.58, -4.42, -4.76, -1.96, -6.5, -4.58, -14.34, -5.53, -5.67, -3.57, -4.34, 0.01, 0.04, 0.24, 0.0, 0.04, 0.01, 0.05, 0.01, 0.04, 0.04, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05, 0.0, 0.01, 0.1, 0.01
4.88, 4.48, 1.11, 5.97, 8.54, -4.83, -4.5, -1.88, -7.35, -4.68, -13.2, -5.99, -5.56, -3.56, -3.55, 0.0, 0.05, 0.2, 0.0, 0.04, 0.01, 0.06, 0.01, 0.06, 0.04, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05, 0.0, 0.01, 0.12, 0.0
5.25, 3.84, 1.49, 5.09, 8.01, -4.28, -4.64, -1.69, -6.77, -4.53, -14.4, -5.67, -6.53, -3.86, -3.56, 0.01, 0.05, 0.21, 0.0, 0.03, 0.01, 0.05, 0.01, 0.04, 0.04, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05, 0.0, 0.01, 0.11, 0.0
3.07, 3.1, 0.63, 4.29, 8.92, -6.1, -3.57, -2.23, -6.58, -3.15, -8.73, -7.26, -4.97, -3.34, -3.3, 0.0, 0.03, 0.22, 0.0, 0.05, 0.01, 0.04, 0.01, 0.04, 0.03, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04, 0.0, 0.01, 0.09, 0.0
3.4, 3.78, 1.09, 6.66, 6.59, -4.56, -7.06, -2.05, -5.77, -3.15, -17.5, -7.29, -5.21, -4.57, -2.75, 0.0, 0.04, 0.17, 0.0, 0.03, 0.01, 0.03, 0.01, 0.03, 0.03, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04, 0.0, 0.01, 0.07, 0.01
7.0, 3.28, 1.29, 6.78, 9.82, -5.71, -3.48, -2.09, -6.94, -7.26, -16.64, -6.91, -4.89, -2.38, -3.27, 0.0, 0.03, 0.21, 0.0, 0.05, 0.01, 0.03, 0.01, 0.04, 0.03, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03, 0.0, 0.01, 0.13, 0.0
