381.19281526, 113.9379155, 210.4772077, 93.30907436
381.19279924, 113.93791033, 210.4771949, 93.30907534
396.18489283, 115.52217335, 211.20850031, 84.15955327
381.19282497, 113.93791547, 210.47720244, 93.30907587
381.19320996, 113.93798927, 210.47730457, 93.30910047
381.15230282, 113.92975822, 218.03398917, 93.30644413
381.19280213, 113.93792724, 210.4772848, 93.30907101
381.19280802, 113.93790097, 210.47717204, 93.30907864
381.19279152, 113.93791116, 210.47719954, 93.30907454
381.19281505, 113.93791368, 210.47720259, 93.30907493
