379.71813676, 110.83862863, 263.97315604, 82.9164979
381.19298347, 113.93793625, 210.47719415, 93.30908952
491.0293384, 171.85524909, 201.70997919, 18.71498459
381.19317697, 113.93795793, 210.47718607, 93.3090876
381.1928799, 113.9383627, 210.47778928, 93.30914751
381.19288007, 113.93800452, 210.47735248, 93.30909972
381.18728281, 113.93827353, 210.47229423, 93.3085567
381.1929005, 113.93804148, 210.47737136, 93.30910056
381.19299465, 113.93797982, 210.47727568, 93.30908584
381.18962977, 113.93737105, 210.47634757, 93.30904707
