381.19312559, 113.93788578, 210.47727626, 93.30907508
258.62150352, 76.03244897, 269.40478666, 197.73445543
381.19297695, 113.93792051, 210.47728893, 93.30908307
381.19297299, 113.93794868, 210.47720267, 93.30909192
381.19305812, 113.9379334, 210.4772636, 93.30908271
381.19298499, 113.93793524, 210.47722254, 93.30908695
380.96922781, 176.67547645, 216.413488, 94.68696782
381.19329329, 113.93826139, 210.47778815, 93.30911243
381.19291438, 113.93800728, 210.4772725, 93.30909349
381.60124479, 113.3508205, 226.05410008, 93.16206804
